river,station,date,time,datetime,temp,LDO,oxy,light,modlight,,,,,,,
buffalo,up1,7/21/2010,22:00:00,7/21/2010 22:00,9.59,8.66,8.66,0,0,,,,,,,
buffalo,up1,7/21/2010,22:05:00,7/21/2010 22:05,9.59,8.65,8.65,0,0,,,,,,,
buffalo,up1,7/21/2010,22:10:00,7/21/2010 22:10,9.58,8.63,8.63,0,0,,,,,,,
buffalo,up1,7/21/2010,22:15:00,7/21/2010 22:15,9.57,8.64,8.64,0,0,,,,,,,
buffalo,up1,7/21/2010,22:20:00,7/21/2010 22:20,9.56,8.63,8.63,0,0,,,,,,,
buffalo,up1,7/21/2010,22:25:00,7/21/2010 22:25,9.55,8.61,8.61,0,0,,,,,,,
buffalo,up1,7/21/2010,22:30:00,7/21/2010 22:30,9.54,8.62,8.62,0,0,,,,,,,
buffalo,up1,7/21/2010,22:35:00,7/21/2010 22:35,9.53,8.62,8.62,0,0,,,,,,,
buffalo,up1,7/21/2010,22:40:00,7/21/2010 22:40,9.53,8.62,8.62,0,0,,,,,,,
buffalo,up1,7/21/2010,22:45:00,7/21/2010 22:45,9.51,8.6,8.6,0,0,,,,,,,
buffalo,up1,7/21/2010,22:50:00,7/21/2010 22:50,9.51,8.6,8.6,0,0,,,,,,,
buffalo,up1,7/21/2010,22:55:00,7/21/2010 22:55,9.5,8.59,8.59,0,0,,,,,,,
buffalo,up1,7/21/2010,23:00:00,7/21/2010 23:00,9.49,8.59,8.59,0,0,,,,,,,
buffalo,up1,7/21/2010,23:05:00,7/21/2010 23:05,9.49,8.58,8.58,0,0,,,,,,,
buffalo,up1,7/21/2010,23:10:00,7/21/2010 23:10,9.48,8.57,8.57,0,0,,,,,,,
buffalo,up1,7/21/2010,23:15:00,7/21/2010 23:15,9.48,8.56,8.56,0,0,,,,,,,
buffalo,up1,7/21/2010,23:20:00,7/21/2010 23:20,9.48,8.55,8.55,0,0,,,,,,,
