river,station,date,time,datetime,temp,LDO,oxy,light,modlight
buffalo,up1,7/22/2010,4:05:00,7/22/2010 4:05,8.69,8.62,8.62,0,0
buffalo,up1,7/22/2010,4:10:00,7/22/2010 4:10,8.68,8.62,8.62,0,0
buffalo,up1,7/22/2010,4:15:00,7/22/2010 4:15,8.66,8.64,8.64,0,0
buffalo,up1,7/22/2010,4:20:00,7/22/2010 4:20,8.64,8.62,8.62,0,0
buffalo,up1,7/22/2010,4:25:00,7/22/2010 4:25,8.61,8.64,8.64,0,0
buffalo,up1,7/22/2010,4:30:00,7/22/2010 4:30,8.59,8.64,8.64,0,0
buffalo,up1,7/22/2010,4:35:00,7/22/2010 4:35,8.57,8.65,8.65,0,0
buffalo,up1,7/22/2010,4:40:00,7/22/2010 4:40,8.54,8.65,8.65,0,0
buffalo,up1,7/22/2010,4:45:00,7/22/2010 4:45,8.52,8.65,8.65,0,0
buffalo,up1,7/22/2010,4:50:00,7/22/2010 4:50,8.49,8.66,8.66,0,0
buffalo,up1,7/22/2010,4:55:00,7/22/2010 4:55,8.47,8.65,8.65,0,0
buffalo,up1,7/22/2010,5:00:00,7/22/2010 5:00,8.45,8.66,8.66,0.002293,0
buffalo,up1,7/22/2010,5:05:00,7/22/2010 5:05,8.42,8.68,8.68,0.0023309,0
buffalo,up1,7/22/2010,5:10:00,7/22/2010 5:10,8.4,8.67,8.67,0.0032784,0
buffalo,up1,7/22/2010,5:15:00,7/22/2010 5:15,8.37,8.68,8.68,0.0040553,0
buffalo,up1,7/22/2010,5:20:00,7/22/2010 5:20,8.35,8.68,8.68,0.0064241,0
buffalo,up1,7/22/2010,5:25:00,7/22/2010 5:25,8.33,8.69,8.69,0.012166,0
buffalo,up1,7/22/2010,5:30:00,7/22/2010 5:30,8.31,8.7,8.7,0.027118,3.376109516
buffalo,up1,7/22/2010,5:35:00,7/22/2010 5:35,8.29,8.69,8.69,0.064506,10.70562176
buffalo,up1,7/22/2010,5:40:00,7/22/2010 5:40,8.26,8.71,8.71,0.15767,18.11110596
buffalo,up1,7/22/2010,5:45:00,7/22/2010 5:45,8.24,8.7,8.7,0.39744,25.58872031
buffalo,up1,7/22/2010,5:50:00,7/22/2010 5:50,8.23,8.7,8.7,0.944,33.13459605
buffalo,up1,7/22/2010,5:55:00,7/22/2010 5:55,8.21,8.72,8.72,2.0326,40.7448393
buffalo,up1,7/22/2010,6:00:00,7/22/2010 6:00,8.19,8.7,8.7,4.1283,48.41553299
buffalo,up1,7/22/2010,6:05:00,7/22/2010 6:05,8.18,8.72,8.72,6.7816,56.14273866
buffalo,up1,7/22/2010,6:10:00,7/22/2010 6:10,8.17,8.72,8.72,10.41,79.35951748
buffalo,up1,7/22/2010,6:15:00,7/22/2010 6:15,8.16,8.73,8.73,15.61,110.8424007
buffalo,up1,7/22/2010,6:20:00,7/22/2010 6:20,8.14,8.75,8.75,22.922,142.5399101
buffalo,up1,7/22/2010,6:25:00,7/22/2010 6:25,8.13,8.73,8.73,33.582,174.4367016
buffalo,up1,7/22/2010,6:30:00,7/22/2010 6:30,8.12,8.74,8.74,45.576,206.5173434
buffalo,up1,7/22/2010,6:35:00,7/22/2010 6:35,8.1,8.77,8.77,53.089,238.7663238
buffalo,up1,7/22/2010,6:40:00,7/22/2010 6:40,8.09,8.76,8.76,58.555,271.1680583
buffalo,up1,7/22/2010,6:45:00,7/22/2010 6:45,8.08,8.76,8.76,58.81,303.7068969
buffalo,up1,7/22/2010,6:50:00,7/22/2010 6:50,8.07,8.76,8.76,57.947,336.3671318
buffalo,up1,7/22/2010,6:55:00,7/22/2010 6:55,8.05,8.78,8.78,56.795,369.1330047
buffalo,up1,7/22/2010,7:00:00,7/22/2010 7:00,8.04,8.79,8.79,57.718,401.9887144
buffalo,up1,7/22/2010,7:05:00,7/22/2010 7:05,8.02,8.81,8.81,60.888,434.9184241
buffalo,up1,7/22/2010,7:10:00,7/22/2010 7:10,8.01,8.81,8.81,67.355,467.9062691
buffalo,up1,7/22/2010,7:15:00,7/22/2010 7:15,8,8.81,8.81,73.63,500.9363644
buffalo,up1,7/22/2010,7:20:00,7/22/2010 7:20,7.99,8.83,8.83,78.856,533.9928121
buffalo,up1,7/22/2010,7:25:00,7/22/2010 7:25,7.98,8.85,8.85,82.786,567.0597093
buffalo,up1,7/22/2010,7:30:00,7/22/2010 7:30,7.98,8.84,8.84,87.872,600.1211552
buffalo,up1,7/22/2010,7:35:00,7/22/2010 7:35,7.99,8.85,8.85,93.275,633.1612591
buffalo,up1,7/22/2010,7:40:00,7/22/2010 7:40,7.98,8.86,8.86,112.55,666.1641479
buffalo,up1,7/22/2010,7:45:00,7/22/2010 7:45,7.98,8.87,8.87,130.84,699.1139739
buffalo,up1,7/22/2010,7:50:00,7/22/2010 7:50,7.99,8.87,8.87,164.08,731.994922
buffalo,up1,7/22/2010,7:55:00,7/22/2010 7:55,7.99,8.89,8.89,247,764.7912177
buffalo,up1,7/22/2010,8:00:00,7/22/2010 8:00,8.01,8.89,8.89,407.84,797.4871345
buffalo,up1,7/22/2010,8:05:00,7/22/2010 8:05,8.01,8.89,8.89,366.36,830.0670016
